ANO,FASE,IDADE,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,IAA,IEG,IPS,IDA,IND_PV,IAN,IPP,NOTA_MATEM,NOTA_PORT,POSSUI_DEFASAGEM,INDE_ATUAL,IPP_IMPUTADO
2022,5,15.0,1,2019,2,7.9,8.9,5.6,6.8,7.417,10.0,7.65625,6.3,5.2,0,7.591,1
2022,5,17.0,1,2022,1,8.8,8.4,6.3,2.1,7.083,5.0,7.65625,2.8,2.8,1,6.048,1
2022,5,17.0,1,2022,1,7.9,6.3,7.5,2.1,7.042,5.0,7.65625,2.5,2.2,1,5.677,1
2022,5,15.0,1,2017,2,6.7,8.4,7.5,8.1,8.5,10.0,7.65625,6.7,8.0,0,8.006,1
2022,5,17.0,1,2022,1,7.5,7.4,7.5,3.9,7.042,5.0,7.65625,1.5,4.2,1,6.304,1
2022,5,18.0,1,2022,1,7.5,8.4,7.5,7.8,7.542,2.5,7.65625,6.5,7.3,1,7.138,1
2022,5,17.0,1,2022,1,8.8,7.6,7.5,5.0,6.5,5.0,7.65625,4.5,4.5,1,6.488,1
2022,5,13.0,0,2018,2,9.6,8.9,7.5,6.2,7.5,10.0,7.65625,3.3,6.3,0,7.861,1
2022,5,17.0,0,2022,1,9.2,7.0,7.5,7.0,6.458,5.0,7.65625,6.0,8.0,1,6.725,1
2022,5,16.0,1,2022,1,7.9,6.9,7.5,4.8,6.125,5.0,7.65625,3.0,6.5,1,6.058,1
2022,5,16.0,1,2017,1,7.1,7.6,5.6,7.5,6.5,5.0,7.65625,6.7,7.8,1,6.576,1
2022,5,15.0,1,2019,2,10.0,10.0,7.5,7.0,8.25,10.0,7.65625,4.5,6.5,0,8.404,1
2022,5,16.0,0,2017,2,7.1,8.1,5.6,8.4,7.875,5.0,7.65625,9.0,7.0,1,7.305,1
2022,5,15.0,0,2017,2,9.6,9.2,6.3,7.2,8.125,10.0,7.65625,4.5,8.0,0,8.136,1
2022,5,17.0,0,2022,1,9.2,9.3,7.5,7.2,7.917,5.0,7.65625,7.0,5.7,1,7.642,1
2022,5,18.0,1,2021,1,6.7,6.0,7.5,4.9,6.167,2.5,7.65625,5.0,6.2,1,5.537,1
2022,5,15.0,0,2021,1,9.2,7.4,7.5,5.8,7.875,10.0,7.65625,1.7,6.3,0,7.533,1
2022,5,17.0,0,2022,1,8.8,9.4,7.5,9.3,7.25,5.0,7.65625,8.5,10.0,1,7.891,1
2022,5,16.0,0,2018,2,8.3,9.1,8.8,8.7,9.417,5.0,7.65625,8.2,8.2,1,8.282,1
2022,5,16.0,0,2019,1,7.1,8.1,8.1,7.5,8.25,5.0,7.65625,4.8,8.2,1,7.368,1
2022,5,17.0,1,2022,1,8.3,7.7,7.5,9.3,7.875,5.0,7.65625,9.0,9.5,1,7.712,1
2022,5,17.0,1,2022,1,7.5,5.6,7.5,4.5,5.917,5.0,7.65625,3.0,6.0,1,5.665,1
2022,5,16.0,1,2019,1,5.8,3.0,7.5,3.6,6.889,5.0,7.65625,3.0,4.2,1,5.195,1
2022,5,16.0,0,2019,1,8.3,6.0,7.5,4.0,7.944,5.0,7.65625,4.7,4.8,1,6.438,1
2022,5,16.0,0,2018,1,8.3,6.1,7.5,2.5,6.167,5.0,7.65625,4.7,2.6,1,5.718,1
2022,5,16.0,1,2017,1,8.8,6.6,5.0,2.9,6.111,5.0,7.65625,5.7,2.9,1,5.712,1
2022,5,17.0,1,2019,1,7.9,2.0,7.5,1.2,5.833,5.0,7.65625,1.3,2.2,1,4.332,1
2022,5,17.0,1,2022,1,8.3,7.5,7.5,7.8,8.667,5.0,7.65625,7.5,7.8,1,7.64,1
2022,5,17.0,1,2022,1,7.1,3.0,7.5,3.3,7.278,5.0,7.65625,4.5,3.0,1,5.271,1
2022,5,16.0,0,2022,1,9.6,3.3,7.5,2.0,5.833,5.0,7.65625,6.0,0.0,1,4.989,1
2022,5,16.0,1,2022,1,5.4,3.8,6.3,0.0,4.625,5.0,7.65625,0.0,0.0,1,3.915,1
2022,5,15.0,1,2017,2,10.0,9.1,8.1,8.7,9.292,10.0,7.65625,9.3,8.3,0,9.105,1
2022,5,16.0,0,2019,1,7.1,2.7,5.0,0.7,4.625,5.0,7.65625,0.3,1.8,1,3.846,1
2022,5,17.0,0,2018,2,8.3,6.6,5.6,7.2,8.0,5.0,7.65625,8.7,5.7,1,7.04,1
2022,5,16.0,1,2018,2,5.4,6.3,5.6,8.9,7.292,5.0,7.65625,9.5,7.7,1,6.847,1
2022,5,16.0,1,2017,2,9.2,8.3,5.0,7.1,7.625,5.0,7.65625,6.5,7.7,1,7.29,1
2022,5,14.0,1,2017,2,9.2,9.2,5.0,6.0,7.458,10.0,7.65625,5.5,5.2,0,7.675,1
2022,5,17.0,1,2022,1,8.8,6.8,7.5,5.5,6.417,5.0,7.65625,6.0,5.0,1,6.596,1
2022,5,17.0,1,2022,1,7.9,6.8,7.5,6.8,5.958,5.0,7.65625,6.0,7.5,1,6.671,1
2022,5,17.0,1,2018,2,7.1,8.8,5.0,5.8,6.75,5.0,7.65625,5.7,6.5,1,6.682,1
2022,5,15.0,0,2022,1,6.7,7.3,5.0,4.3,5.833,10.0,7.65625,5.0,3.5,0,6.243,1
2022,5,16.0,0,2016,2,7.5,9.6,5.6,6.7,8.458,5.0,7.65625,6.2,7.2,1,7.566,1
2022,5,15.0,0,2021,2,8.3,9.6,7.5,8.8,8.5,10.0,7.65625,8.3,8.0,0,8.712,1
2022,5,17.0,0,2021,1,7.1,9.2,5.6,6.5,9.208,5.0,7.65625,6.8,6.2,1,7.498,1
2022,5,16.0,0,2021,1,9.6,7.8,7.5,5.9,8.0,5.0,7.65625,7.5,5.7,1,7.323,1
2022,5,13.0,1,2019,2,10.0,9.7,9.4,8.5,9.75,10.0,7.65625,7.7,8.0,0,9.442,1
2022,5,16.0,1,2016,2,9.2,5.7,5.6,6.6,7.125,5.0,7.65625,5.5,5.7,1,6.645,1
2022,5,16.0,1,2016,2,9.2,7.1,5.0,7.4,6.667,5.0,7.65625,7.8,5.5,1,6.957,1
2022,5,15.0,1,2016,2,8.3,9.7,8.1,8.5,9.083,10.0,7.65625,8.8,8.3,0,8.941,1
2022,5,15.0,1,2018,2,8.3,9.6,8.1,7.7,9.583,10.0,7.65625,7.0,6.7,0,8.921,1
2022,5,17.0,1,2022,1,8.3,6.6,7.5,4.8,6.292,5.0,7.65625,6.0,8.0,1,6.308,1
2022,5,16.0,0,2021,1,9.2,7.8,6.9,6.7,8.5,5.0,7.65625,5.7,6.5,1,7.54,1
2022,5,15.0,1,2017,2,7.5,8.8,5.0,6.9,6.292,10.0,7.65625,5.3,6.7,0,7.468,1
2022,5,15.0,1,2017,2,8.8,10.0,9.4,8.5,9.667,10.0,7.65625,8.4,8.2,0,9.354,1
2022,5,16.0,0,2019,1,8.8,6.3,7.5,5.0,5.833,5.0,7.65625,5.7,3.4,1,6.158,1
2022,4,13.0,1,2019,2,8.8,7.8,5.0,7.6,7.25,10.0,7.96875,7.0,7.8,0,7.618,1
2022,4,15.0,1,2021,1,7.9,8.3,7.5,7.6,6.833,5.0,7.96875,7.2,6.5,1,7.305,1
2022,4,14.0,0,2019,1,6.7,7.7,6.9,5.7,6.0,10.0,7.96875,4.7,6.8,0,6.922,1
2022,4,13.0,1,2020,2,7.9,8.7,7.5,7.3,7.708,10.0,7.96875,7.3,7.3,0,8.107,1
2022,4,18.0,0,2022,1,7.9,8.7,7.5,3.7,6.708,2.5,7.96875,4.8,5.8,1,6.315,1
2022,4,17.0,0,2016,2,7.9,8.2,5.6,6.7,7.417,2.5,7.96875,7.2,6.2,1,6.846,1
2022,4,15.0,1,2016,2,9.2,8.0,9.4,7.4,8.375,5.0,7.96875,7.8,7.2,1,7.973,1
2022,4,15.0,1,2018,1,7.5,6.4,7.5,4.6,6.5,5.0,7.96875,3.3,4.3,1,6.258,1
2022,4,17.0,1,2019,1,4.6,7.7,5.0,5.0,6.125,2.5,7.96875,3.0,5.8,1,5.547,1
2022,4,16.0,0,2021,2,8.8,10.0,8.8,8.4,8.667,5.0,7.96875,7.8,7.5,1,8.512,1
2022,4,14.0,0,2017,2,9.2,9.7,5.6,6.7,8.0,10.0,7.96875,8.3,5.7,0,8.15,1
2022,4,13.0,1,2020,2,7.5,9.4,8.1,8.0,8.667,10.0,7.96875,6.7,7.5,0,8.646,1
2022,4,15.0,1,2016,2,7.9,7.8,6.3,8.5,8.833,5.0,7.96875,9.0,7.5,1,7.836,1
2022,4,15.0,1,2017,2,0.0,0.0,5.0,3.7,3.792,5.0,7.96875,3.3,5.5,1,3.032,1
2022,4,16.0,0,2022,1,7.9,6.3,7.5,5.3,5.0,5.0,7.96875,6.0,4.5,1,5.894,1
2022,4,16.0,1,2019,1,8.3,6.8,6.3,3.8,5.583,5.0,7.96875,3.0,5.7,1,5.886,1
2022,4,16.0,1,2019,1,5.8,8.1,6.3,5.9,7.792,5.0,7.96875,5.0,7.2,1,6.854,1
2022,4,15.0,1,2022,1,7.9,6.3,6.9,6.1,7.417,5.0,7.96875,4.7,6.7,1,6.685,1
2022,4,14.0,1,2021,1,0.0,5.3,6.3,3.9,6.958,10.0,7.96875,3.7,4.7,0,5.597,1
2022,4,14.0,1,2016,2,8.3,8.2,5.6,5.4,7.875,10.0,7.96875,5.7,7.0,0,7.501,1
2022,4,15.0,0,2019,1,8.3,5.9,7.5,6.2,7.667,5.0,7.96875,3.7,5.2,1,6.825,1
